CMP,Roundist,Sales,Market Size,Pct,Acc_sales,Acc_Pct,Acc_MSize,MShare,Acc_MShare
Centro 1,0,846265.32,6516160.0,0.0052722948327713764,846265.32,0.0052722948327713764,6516160.0,0.12987178338162353,0.12987178338162353
Centro 1,1,202173.37,2754035.0,0.0012595548804658278,1048438.69,0.006531849713237204,9270195.0,0.07340987678079618,0.11309780322851892
Centro 1,2,2118257.94,26909635.0,0.013196901878879948,3166696.63,0.019728751592117153,36179830.0,0.07871745343257164,0.08752657571912306
Centro 1,3,1218806.81,13314628.0,0.007593255560217882,4385503.4399999995,0.027322007152335032,49494458.0,0.09153893071590134,0.08860594937720097
Centro 1,4,1503756.5699999998,15605252.0,0.009368513403996052,5889260.01,0.03669052055633108,65099710.0,0.09636220997905064,0.09046522649640067
Centro 1,5,2102056.15,28157079.0,0.013095963542308804,7991316.16,0.049786484098639894,93256789.0,0.07465462415330794,0.08569152171859575
Centro 1,6,464069.79000000004,20668245.0,0.002891188730104523,8455385.95,0.05267767282874441,113925034.0,0.022453275060364344,0.07421885825375307
Centro 1,7,441519.6,6914736.0,0.00275069939726147,8896905.549999999,0.05542837222600588,120839770.0,0.06385198220148969,0.07362564121067094
Centro 1,9,797226.53,15933681.0,0.004966779584761024,9694132.079999998,0.0603951518107669,136773451.0,0.05003404611903552,0.07087729386896875
Centro 1,10,81068.15000000001,1378146.0,0.0005050605031851417,9775200.229999999,0.06090021231395204,138151597.0,0.05882406508454112,0.07075705559885781
Centro 1,14,128187.12000000001,5183343.0,0.0007986151321950005,9903387.349999998,0.061698827446147034,143334940.0,0.024730587962247533,0.06909262563614983
Centro 1,16,20971.65,1092173.0,0.00013065491320108668,9924358.999999998,0.061829482359348126,144427113.0,0.01920176565434231,0.06871534571213092
Centro 1,17,43337.41,8792822.0,0.00026999523365638404,9967696.409999998,0.06209947759300451,153219935.0,0.004928725953965633,0.06505482729776643
Centro 1,18,120208.4,10939931.0,0.0007489071230943443,10087904.809999999,0.06284838471609885,164159866.0,0.010988040052537808,0.06145171201589552
Centro 1,19,35697.8,3820445.0,0.00022239990465555893,10123602.61,0.06307078462075442,167980311.0,0.009343885332729566,0.06026660237579867
Centro 1,20,30025.989999999998,2052573.0,0.0001870641135641066,10153628.6,0.06325784873431853,170032884.0,0.014628463884110333,0.059715675939484736
Centro 10,0,1028435.13,11677221.0,0.006407226071534586,12514418.17,0.07796574040494915,752870568.0,0.0880719076910508,0.016622270416606324
Centro 10,5,1154995.31,13265958.0,0.007195705248548026,13669413.48,0.08516144565349719,766136526.0,0.08706459872705763,0.0178420072873539
Centro 10,6,5988.04,413029.0,3.730592711802052e-05,13675401.52,0.0851987515806152,766549555.0,0.01449786818843229,0.01784020541242112
Centro 10,7,461418.08,7856386.0,0.0028746683828793666,14136819.6,0.08807341996349456,774405941.0,0.058731594908905956,0.01825505055106492
Centro 10,8,1379474.36,22979772.0,0.008594226146675373,15516293.959999999,0.09666764611016994,797385713.0,0.0600299411151686,0.01945895657149804
Centro 10,9,482805.92,12423231.0,0.0030079161902173074,15999099.879999999,0.09967556230038724,809808944.0,0.03886315242789899,0.01975663518974421
Centro 10,10,41809.43,5105345.0,0.00026047580651197735,16040909.309999999,0.09993603810689922,814914289.0,0.008189344696587596,0.019684167435184093
Centro 10,11,498664.6499999999,11988823.0,0.0031067172378997482,16539573.959999999,0.10304275534479897,826903112.0,0.04159412896495343,0.0200018281706503
Centro 10,12,556360.65,7026043.0,0.0034661675373301656,17095934.61,0.10650892288212914,833929155.0,0.0791854889017901,0.020500463987255607
Centro 10,13,79293.94,1784629.0,0.0004940070451334147,17175228.55,0.10700292992726256,835713784.0,0.04443161015538804,0.02055156786788143
Centro 10,15,912.15,173004.0,5.682761207457268e-06,17176140.7,0.10700861268847,835886788.0,0.005272421446902962,0.02054840553359721
Centro 10,19,15065.61,1675001.0,9.385985207989946e-05,17191206.31,0.1071024725405499,837561789.0,0.008994388660066473,0.020525299190791997
Centro 11,0,217079.82,1680657.0,0.0013524231541060202,17709831.04,0.11033354253657249,1334665787.0,0.12916366635190882,0.013269112921375873
Centro 11,2,88909.43,822424.0,0.0005539122510345199,17798740.47,0.110887454787607,1335488211.0,0.10810656060620798,0.013327515977600794
Centro 11,3,91094.67,1091832.0,0.0005675264560457395,17889835.14,0.11145498124365276,1336580043.0,0.08343286329765019,0.013384783974363143
Centro 11,4,282627.24,3799930.0,0.0017607883743273748,18172462.38,0.11321576961798012,1340379973.0,0.07437695957557112,0.013557694643353194
Centro 11,5,28796.95,384030.0,0.00017940710448181393,18201259.33,0.11339517672246194,1340764003.0,0.07498619899487019,0.013575289379245065
Centro 11,6,635072.48,11354856.0,0.003956547994592646,18836331.81,0.11735172471705457,1352118859.0,0.055929593470846306,0.013930973364228477
Centro 11,7,3407.96,74753.0,2.1231840031317293e-05,18839739.77,0.1173729565570859,1352193612.0,0.04558960844380828,0.013932723541072311
Centro 11,8,137936.25,1966459.0,0.0008593529250694815,18977676.02,0.11823230948215538,1354160071.0,0.07014448305304102,0.014014352089103947
Centro 11,9,12139.64,374967.0,7.563084499752951e-05,18989815.66,0.11830794032715292,1354535038.0,0.032375222352900385,0.014019434807710009
Centro 11,10,63059.380000000005,1515952.0,0.0003928645490657312,19052875.04,0.11870080487621865,1356050990.0,0.04159721415981509,0.0140502644668251
Centro 11,11,153347.75,3622966.0,0.0009553676971450477,19206222.79,0.1196561725733637,1359673956.0,0.042326577174613286,0.014125609088301166
