CMP,Roundist,Sales,Market Size,Pct,Acc_sales,Acc_Pct,Acc_MSize,MShare,Acc_MShare
Centro 1,0,846265.32,6516160.424836507,0.0052722948327713764,846265.32,0.0052722948327713764,6516160.424836507,0.1298717749143251,0.1298717749143251
Centro 1,2,2118257.94,26909638.700113513,0.013196901878879948,2964523.26,0.018469196711651325,33425799.12495002,0.07871744260881007,0.08868967496987051
Centro 1,3,1560823.92,17578707.73953204,0.009724047167951966,4525347.18,0.02819324387960329,51004506.86448206,0.0887905950270694,0.08872445707638651
Centro 1,4,1503756.5699999998,15605253.24519261,0.009368513403996052,6029103.75,0.03756175728359935,66609760.10967467,0.09636220229000453,0.09051381869673343
Centro 1,5,2102056.15,28157079.875925895,0.013095963542308804,8131159.9,0.05065772082590815,94766839.98560056,0.07465462183091093,0.0858017414238514
Centro 1,6,464069.79000000004,20668245.981465187,0.002891188730104523,8595229.690000001,0.05354890955601268,115435085.96706575,0.022453273994134156,0.0744594212235634
Centro 1,7,441519.6,6914736.342774005,0.00275069939726147,9036749.290000001,0.05629960895327415,122349822.30983976,0.06385197903624974,0.07385992982576843
Centro 1,9,339027.62,7276212.090699754,0.002112166866406363,9375776.91,0.0584117758196805,129626034.4005395,0.04659397166739208,0.07232942790665961
Centro 1,10,81068.15000000001,1378146.7790082616,0.0005050605031851417,9456845.06,0.05891683632286565,131004181.17954776,0.058824031833777574,0.07218735291386558
Centro 1,14,586386.03,13840815.000133773,0.0036532278505496617,10043231.09,0.0625700641734153,144844996.17968154,0.0423664379586269,0.06933778421686919
Centro 1,17,54086.5,9222886.442275342,0.0003369628504600532,10097317.59,0.06290702702387536,154067882.62195688,0.005864378829612537,0.06553810838548506
Centro 1,18,141180.05,12032107.189323053,0.000879562036295431,10238497.64,0.06378658906017079,166099989.81127995,0.011733609730910569,0.061640567537859646
Centro 1,19,35697.8,3820447.198364328,0.00022239990465555893,10274195.440000001,0.06400898896482636,169920437.00964427,0.009343879956064704,0.060464742327709896
Centro 1,20,19276.9,1622510.5079756845,0.00012009649676043744,10293472.340000002,0.0641290854615868,171542947.51761997,0.011880909186869126,0.06000522020261259
Centro 10,0,1028435.13,11677221.16599032,0.006407226071534586,12514418.169999998,0.07796574040494915,752870646.5542829,0.08807190643911905,0.016622268682243934
Centro 10,5,1154995.31,13265958.246352982,0.007195705248548026,13669413.479999999,0.08516144565349718,766136604.8006359,0.08706459711024088,0.01784200545222226
Centro 10,6,5988.04,413029.0792626676,3.730592711802052e-05,13675401.519999998,0.08519875158061518,766549633.8798985,0.014497865406207585,0.0178402035766188
Centro 10,7,461418.08,7856387.1372221075,0.0028746683828793666,14136819.599999998,0.08807341996349455,774406021.0171206,0.05873158640743232,0.018255048664823668
Centro 10,8,1379474.36,22979773.448350802,0.008594226146675373,15516293.959999997,0.09666764611016992,797385794.4654714,0.06002993733164943,0.019458954583460274
