CP,Market Size,Latitude,Longitude
2638,19947,39.165726,-2.027625
2639,368976,39.044582,-2.201462
2640,5694484,38.870279,-1.099337
2650,423173,38.788849,-1.32704
2651,513060,38.706757,-1.462804
2652,410583,38.615903,-1.497872
2653,128130,38.572,-1.52056
2660,2204267,38.711601,-1.00119
2690,440161,38.959045,-1.23016
2691,212167,38.871601,-1.34813
2692,131090,38.483333,-2.216667
2693,63113,38.834336,-1.459782
2694,241537,38.961843,-1.442261
2695,10383,38.900071,-1.52873
2696,131378,38.958424,-1.556583
3001,1941667,38.343893,-0.485041
3002,1885042,38.348523,-0.47973
3003,4310764,38.33794,-0.491533
3004,4171903,38.348484,-0.489172
3005,11294488,38.362831,-0.521056
3006,4934781,38.352213,-0.539963
3007,6377719,38.340452,-0.519875
3008,6914736,38.320689,-0.521056
3009,5316016,38.376066,-0.504521
3010,6530107,38.361651,-0.489172
3011,3124987,38.376106,-0.495075
3012,6529879,38.359047,-0.48209
3013,4792041,38.356443,-0.475009
3014,2754035,38.369569,-0.48445
3015,6516160,38.373561,-0.473829
3016,4763792,38.373672,-0.44552
3100,1830485,38.546947,-0.506882
3108,169714,38.607981,-0.419882
3109,430064,38.553438,-0.607182
3110,7276212,38.452473,-0.47855
3111,769796,38.494747,-0.421944
3112,895626,38.391958,-0.48091
3113,488466,38.349145,-0.627523
3114,33751,38.325717,-0.573071
3130,9061298,38.233718,-0.546756
3139,571280,38.241268,-0.592003
3140,4227440,38.06284,-0.679973
3149,78796,38.059864,-0.660777
3150,1618213,38.138686,-0.769807
3158,2017808,38.159791,-0.800379
3159,415546,38.114235,-0.759817
3160,4575729,38.120454,-0.782518
3169,887013,38.065936,-0.778943
3170,4269524,38.068926,-0.712901
3176,179087,38.065389,-0.75031
3177,2199483,38.104147,-0.735758
3178,839917,38.076699,-0.739024
3179,1056436,38.090964,-0.762646
3181,5732214,37.979124,-0.684421
3182,5050074,37.979178,-0.674933
3183,4665004,37.99243,-0.672561
3184,2468318,38.029403,-0.686794
3185,2150583,37.986826,-0.724773
3186,1097448,37.968187,-0.7414
3187,1201943,38.027727,-0.744964
3188,909457,38.016347,-0.655962
3189,4640333,37.900073,-0.750528
3190,3539831,37.861863,-0.788944
3191,1931434,37.876482,-0.812046
3193,1546021,37.957245,-0.797148
3194,514733,38.151146,-0.663075
3195,2193044,38.262551,-0.554149
3201,8160874,38.265688,-0.706966
3202,8129775,38.275104,-0.674933
3203,8792822,38.291158,-0.632261
3204,7355260,38.259117,-0.703405
3205,7162845,38.298443,-0.739024
3206,7276508,38.280153,-0.712901
3207,835784,38.288298,-0.672561
3208,786725,38.265937,-0.664261
3290,386190,38.25666,-0.672561
3291,901,38.309272,-0.691539
3292,649213,38.225218,-0.634631
3293,498424,38.198309,-0.724773
3294,1185575,38.198645,-0.667818
3295,1015074,38.26217,-0.629892
3296,893421,38.245592,-0.758034
3300,9158960,38.088066,-0.927736
3310,470572,38.061289,-0.866322
3311,920981,38.080648,-1.008962
3312,1113815,38.055433,-0.940266
3313,479198,38.074611,-0.939669
3314,491763,38.095696,-0.861556
3315,575225,38.171535,-0.961758
3316,805776,38.142485,-0.961758
3317,243914,38.093618,-0.922051
3318,25468,38.345996,-0.490686
3319,247926,38.030553,-0.823616
3320,1732037,38.283459,-0.592003
3321,106975,38.076795,-0.914012
3322,292798,38.094197,-0.969522
3325,304434,38.090493,-0.894631
3330,6097048,38.247898,-0.807977
3339,364231,38.217311,-0.780684
3340,2894787,38.18016,-0.871088
3348,601943,38.152514,-0.890914
3349,479583,38.170622,-0.840646
3350,1657058,38.158817,-0.916361
3360,4421237,38.126939,-0.873298
3369,1196570,38.119208,-0.835377
3370,1751380,38.120343,-0.922364
3380,1634952,38.063895,-0.89396
3390,1206419,38.077208,-0.838784
3400,8161413,38.63182,-0.861221
3408,40073,38.74387,-0.896122
3409,560875,38.686779,-0.824639
3410,973464,38.63082,-0.766354
3420,2633992,38.593413,-0.672536
3430,1970309,38.628766,-0.673747
3440,6191033,38.630746,-0.544691
3450,1855373,38.715327,-0.659518
3460,457871,38.723867,-0.762788
3469,90143,38.707337,-0.736946
3501,5144026,38.538777,-0.12961
3502,9212906,38.563703,-0.144818
3503,5697783,38.542747,-0.098043
3509,1924899,38.579376,-0.196336
3510,1585844,38.650768,-0.121618
3516,139192,38.676508,-0.209927
3517,192120,38.68341,-0.216328
3518,277840,38.689607,-0.126101
3520,1405540,38.634226,-0.134581
3530,4996597,38.57993,-0.120783
3540,14266212,38.368493,-0.421944
3550,7513148,38.390508,-0.4202
3559,273203,38.388135,-0.462404
3560,8657469,38.451913,-0.409131
3569,292279,38.515956,-0.36542
3570,9239378,38.516252,-0.252616
3578,266721,38.579029,-0.346597
3579,369969,38.552966,-0.27609
3580,3793076,38.578552,-0.099664
3581,2474657,38.570681,-0.070135
3590,5389391,38.621509,-0.046656
3599,1510041,38.388136,-0.449058
3600,12491113,38.471621,-0.819877
3610,8213041,38.557155,-0.099548
3630,2326126,38.535982,-0.821068
3638,376468,38.512962,-0.915205
3639,13223,38.566667,-0.85
3640,2629840,38.418545,-0.886583
3649,16125,38.406846,-0.952801
3650,1807238,38.398813,-1.046644
3657,15202,38.40577,-1.087608
3658,24462,38.380306,-1.004392
3659,6016,38.38154,-1.083312
3660,6540394,38.387712,-0.781809
3668,318370,38.339967,-1.002386
3669,569408,38.34901,-0.959303
3670,1748487,38.346181,-0.686794
3679,241473,38.3595,-0.67238
3680,4871152,38.343594,-0.770413
3688,623172,38.347856,-1.041558
3689,276288,38.274034,-0.928927
3690,15733464,38.430881,-0.530387
3698,1092173,38.437252,-0.638185
