CP2,Actual_MarketShare
1001,0.01041732219777098
1002,0.0009484264004523648
1003,7.804933741722636e-06
1004,0.010552838629856487
1005,0.004497883459512423
1006,0.0009302539735768198
1007,0.008651463154721425
1008,0.005620822639565817
1009,0.0002284066550059947
1010,0.0016024632819767017
1012,0.0020027049841091957
1013,0.0013886032833537183
1015,0.0003037417285237274
1191,0.0012294369008195192
1200,0.00015012986233091624
1307,0.015343153744455483
1330,0.007524442375248656
1400,0.017687719646187542
1428,0.11703303862261517
1470,0.0074659585397470855
1474,0.0051827719882480755
1520,0.023505351670323717
2001,9.192369206052455e-05
2002,0.00023989209466038713
2005,0.00013933263182542424
2006,0.0010005385459944509
2008,2.0149670354679386e-05
2124,0.005247883029334509
2240,0.0009892882747374785
2270,0.0006229578319732272
2450,0.023158791313761702
2480,0.010651508288177215
2600,0.0002779646103417029
2640,0.000653088146353559
2660,0.002131184652312991
2690,0.015822392261013583
3001,0.1496620893283967
3002,0.02576424291872542
3003,0.0813737727233502
3004,0.09259559726101013
3005,0.10503483114949522
3006,0.03981234222957412
3007,0.03981352737553975
3008,0.06739440233148453
3009,0.10564182651068019
3010,0.07986215999217164
3011,0.014593404708563587
3012,0.07553966007639651
3013,0.11077777297815274
3014,0.07340987678079618
3015,0.1319563393164072
3016,0.10952369876770439
3100,0.007501465458607965
3108,0.03665166102973237
3109,0.02499416365936233
3110,0.04840323783858964
3111,0.1063371724456869
3112,0.04886592171285782
3113,0.05507421192058404
3114,0.14888092204675418
3130,0.02037511623610657
3139,0.006339343229239602
3140,0.00810536873379634
3149,0.12077821209198436
3150,0.06384097767104824
3158,0.012177917819733097
3159,0.037011979419847615
3160,0.05910813337066072
3169,0.034814055712824955
3170,0.07934155891851176
3176,0.041047200522651005
3177,0.0498300100523623
3178,0.0517010966559791
3179,0.06319140014160819
3181,0.021796213470048398
3182,0.050636885716922174
3183,0.017672831577422013
3184,0.18687770376426377
3185,0.09189233803112924
3186,0.027076207710980384
3187,0.0628942969841332
3188,0.12674654216746917
3189,0.017262987376121496
3190,0.015042017542645397
3191,0.0034726374289776405
3193,0.037639139442478466
3194,0.03199917238646055
3195,0.028587347084691413
3201,0.011915745788992698
3202,0.02764825594804284
3203,0.006658125229875005
3204,0.0017488300889431509
3205,0.00707932392785269
3206,0.0010142502420116904
3207,0.01108212169651489
3208,0.02966912199307255
3290,0.03313809264869624
3291,0.20621531631520534
3292,0.008259538857046918
3293,0.01391415742420108
3294,0.00954746009320372
3295,0.009939541353635301
3296,0.009053738383136282
3300,0.005541600793103146
3310,0.029308649898421496
3312,0.0010292553072099048
3313,0.010519993823012616
3314,0.01302171981218595
3316,0.006863818232362344
3319,0.07149431685260925
3320,0.007599318028425489
3322,0.006685974630974255
3330,0.005762198362223817
3339,0.049522693016245185
3340,0.002006607049154221
3349,0.00552521669867364
3350,0.006876464191356006
3360,0.02481858131559109
3369,0.004647492415821891
3370,0.0037709120807591723
3380,0.020639474431053635
3390,0.011431874000658145
3400,0.005186993967833756
3410,0.00475723806940986
3420,0.019672231350740626
3430,0.021154549870096517
3440,0.020306966543386217
3450,0.0006756053903985884
3460,0.0020106099752987194
3469,0.011265433810722963
3501,0.053930462248830004
3502,0.014903373593521958
3503,0.0339790002532564
3509,0.073958628478689
3510,0.05167858250874613
3516,0.06899663773780103
3517,0.031412658754944825
3518,0.01691711056723294
3520,0.07887464604351352
3530,0.054611870839293225
3540,0.0788668295410162
3550,0.11278452787034143
3559,0.08007748816813871
3560,0.06410924139607084
3569,0.06567338057130345
3570,0.05919372819252551
3578,0.02442526085310118
3579,0.09949003835456485
3580,0.049041748702108784
3581,0.06773628426080867
3590,0.015452899965877407
3599,0.33478106885839526
3600,0.004985896773169853
3610,0.011418912921535396
3630,0.008029358684783197
3638,0.03007108173868695
3640,0.002528062543728896
3650,0.002093526143208587
3658,1.3245768947755703
3660,0.011848170003213873
3668,0.00433614976285454
3669,0.013097462627852084
3670,0.013984038771806711
3679,0.015148981459624884
3680,0.008468571705419991
3688,0.01870783668072378
3689,0.03992934908501274
3690,0.020634597695714053
3698,0.01920176565434231
3699,0.058846224509909666
3700,0.05704037814306056
3709,0.08566955371425265
3710,0.017476175617774866
3720,0.017514595841590014
3724,0.06272939446547833
3725,0.03553998606936471
3726,0.03744555312247104
3727,0.04706866852448532
3728,0.05921914696350492
3729,0.01660766862067552
3730,0.03419579159319607
3737,0.024945690210672035
3738,0.011345135488944835
3739,0.010539969583977411
3740,0.0702207337583223
3749,0.04558960844380828
3750,0.06277693056613232
3759,0.09409872294592633
3760,0.12916366635190882
3769,0.07498619899487019
3770,0.08344751756680514
3778,0.11634335145154906
3779,0.09138845109784484
3780,0.045972963855072047
3786,0.031202293185078535
3788,0.02034325269770371
3789,0.006739997166622816
3790,0.03508372736800838
3791,0.045138819159905204
3792,0.030182281007675876
3793,0.006264053646202892
3794,0.3828396048516642
3795,0.07178918449292038
3801,0.005816226650110015
